person_name,gender,age,net_worth,salary,profession,nationality,key_facts
Elon Musk,Male,"Jun 28, 1971 (50 years old)",$290 Billion,$0,"Aerospace Engineer, Engineer, Entrepreneur, Investor, Designer, Businessperson, Inventor, Film Producer",South Africa,"Sold first company Zip2 to Compaq in 1999 for $340 million. Invested a portion of his windfall into X.com. X.com became Paypal. Paypal sold to eBay in 2002 for $1.5b. Owns 48% of SpaceX which is valued at $46 billion. Owns 22% of Tesla. Net Worth increased $142 billion in 2020. Once testifed that he his ""cash poor"" and has $500 million worth of debt. Once owned $100 million worth of real estate. Sold six LA homes in 2020. "
Jeff Bezos,Male,"Jan 12, 1964 (57 years old)",$193 Billion,,"Entrepreneur, Businessperson",United States of America,"Quit his job in finance in 1994 to launch an online bookstore. Wrote the Amazon business plan in the car as he drove across country. Net worth topped $12b the day Amazon went public in 1998. Net worth sank to $2 billion after the dotcom bubble burst. Net worth topped $50b for the first time in 2015. Net worth topped $100b for the first time in 2018. Owns $1b worth of Google thanks to a pre-ipo investment. Was worth $136b the day he and wife MacKenzie announced their separation. MacKenzie received 20m shares of Amazon and is now the richest woman in the world. Had they never divorced, Jeff's net worth would easily top $250b. Owns The Washington Post. Owns $300m worth of property in Beverly Hills. Owns $60m worth of property in Washington. Has sold at least $70b worth of Amazon shares to date. Sells $1b per year to fund space company Blue Origin. Net worth hits $211 billion in July 2021. "
Bernard Arnault,Male,"Mar 5, 1949 (72 years old)",$160 Billion,,"Businessperson, Business magnate",France,
Bill Gates,Male,"Oct 28, 1955 (65 years old)",$131 Billion,$1 Million,"Entrepreneur, Programmer, Businessperson, Investor, Software Architect",United States of America,"Net worth topped $350m when Microsoft went public in 1986. First became a billionaire in 1987. He was 31 years old. His 1999 net worth of $100b is the same as $153b today after adjusting for inflation. Would be worth $175b had he never donated a dollar to charity. His Seattle mansion has a 66,000 square-foot home and an assessed value of $147 million. Has earned at east $50 billion in Microsoft dividends since 2003. Owns approximately 1.3% of Microsoft today. Intends to give 99.96% of his wealth to charity by the time he dies. Reportedly plans to leave each of his three children just $10 million. "
Mark Zuckerberg,Male,"May 14, 1984 (37 years old)",$127 Billion,$1 Dollar Per Year,"Programmer, Entrepreneur, Businessperson",United States of America,"Founded thefacebook.com from his Harvard dorm room on February 4, 2004. Dropped out of Harvard in his sophomore year. Turned down $1b cash buyout offer from Yahoo in July 2006 when he was 22 years old. Net worth hit $15b on FB's IPO day in May 2012. Owns roughly 400m shares of FB. Controls 58% of FB equity total voting power. Net worth broke $100b for the first time on August 7, 2020. Has pledged to give away 99% of his wealth in his lifetime. Owns roughly $200m in personal real estate around the US. Paid $43m to acquire the four homes surrounding his home in Palo Alto. Paid $145m for around 840 acres on the Hawaiian island of Kauai. "
Larry Page,Male,"Mar 26, 1973 (48 years old)",$125 Billion,,"Entrepreneur, Businessperson, Computer Scientist, Internet Entrepreneur",United States of America,
Sergey Brin,Male,"Aug 21, 1973 (48 years old)",$121 Billion,,"Entrepreneur, Businessperson, Computer Scientist, Internet Entrepreneur, Executive Management",United States of America,
Warren Buffett,Male,1930-08-30,$105 Billion,,"Investor, Entrepreneur, Businessperson, Financier",United States of America,"Bought his first stock at 11. Was worth was the equivalent of $60,000 by the time he was 16. Still lives in a humble Omaha house he bought in 1956 for $31,500. Net worth first topped $1 million when he was 30. Earned 99% of his net worth after his 50th birthday. Net worth first topped $1 billion when he was 56. Has only ever sent one email. $1,000 invested with Buffett in 1964 would be worth $16 million today. Plans to donate the majority of wealth away to charity by the time he dies. Drinks five cans of Coca-Cola every day. "
Steve Ballmer,Male,"Mar 24, 1956 (65 years old)",$101 Billion,$1.35 Million,Businessperson,United States of America,
Larry Ellison,Male,"Aug 17, 1944 (77 years old)",$114 Billion,$75 Million,"Entrepreneur, Businessperson, Investor",United States of America,
Françoise Bettencourt-Meyers,Female,"Jul 10, 1953 (68 years old)",$90 Billion,,Businesswoman,,
Mukesh Ambani,Male,"Apr 19, 1957 (64 years old)",$80 Billion,,Businessperson,India,
Vladimir Putin,Male,"Oct 7, 1952 (69 years old)",$70 Billion,$187 Thousand Per Year,Politician,Russia,
Gautam Adani,Male,"Jun 24, 1962 (59 years old)",$70 Billion,,Businessperson,India,
Amancio Ortega,Male,"Mar 28, 1936 (85 years old)",$70 Billion,,"Entrepreneur, Businessperson",Spain,
Ma Huateng,Male,"Oct 29, 1971 (49 years old)",$64 Billion,,Businessperson,China,
Charles Koch,Male,"Nov 1, 1935 (85 years old)",$62 Billion,,"Businessperson, Industrialist, Philanthropist",United States of America,
Julia Flesher,Female,"Apr 12, 1962 (59 years old)",$62 Billion,,Heir,,
Zhong Shanshan,,,$62 Billion,,Businessman,,
Michael Bloomberg,Male,"Feb 14, 1942 (79 years old)",$60 Billion,,"Entrepreneur, Politician, Businessperson, Business magnate",United States of America,
Alice Walton,Female,"Oct 7, 1949 (72 years old)",$60 Billion,,,United States of America,Christy Walton Net Worth. Jim Walton Net Worth. 
Rob Walton,Male,"Oct 28, 1944 (76 years old)",$60 Billion,,Businessperson,United States of America,
Jim Walton,Male,"Jun 7, 1948 (73 years old)",$60 Billion,,Businessperson,United States of America,
Satoshi Nakamoto,Male,"Jul, 1949 (72 years old)",$57 Billion,,"Electrical engineer, Computer Engineer",Japan,
Phil Knight,Male,"Feb 24, 1938 (83 years old)",$55 Billion,,"Entrepreneur, Businessperson",United States of America,
Carlos Slim,Male,"Jan 28, 1940 (81 years old)",$52 Billion,,"Entrepreneur, Businessperson, Financier",Mexico,
Francois Pinault,Male,"Aug 21, 1936 (85 years old)",$50 Billion,,"Businessperson, Financier, Entrepreneur",France,
Jack Ma,Male,"Oct 15, 1964 (56 years old)",$50 Billion,,"Entrepreneur, Teacher, Businessperson",China,
Zhang Yiming,,"Apr 1, 1983 (38 years old)",$44 Billion,,Internet entrepreneur,,
